"otu"	"tax"	"sim"
"252"	"SCOR.D2.100m.DNA_549517"	2274	98.99
"300"	"SCOR.D2.100m.DNA_549563"	17737	97.93
"322"	"SCOR.D2.100m.DNA_549585"	23633	99.58
"456"	"SCOR.D2.100m.DNA_549714"	39646	99.4
"547"	"SCOR.D2.100m.DNA_549804"	17547	99.79
"554"	"SCOR.D2.100m.DNA_549811"	39646	98.58
"619"	"SCOR.D2.100m.DNA_549876"	35162	98.2
"640"	"SCOR.D2.100m.DNA_549895"	26650	99.8
"751"	"SCOR.D2.100m.DNA_550002"	28241	99.54
"769"	"SCOR.D2.100m.DNA_550020"	23633	99.37
"793"	"SCOR.D2.100m.DNA_550044"	2962	100
"794"	"SCOR.D2.100m.DNA_550045"	32940	99.2
"795"	"SCOR.D2.100m.DNA_550046"	19082	99.79
"833"	"SCOR.D2.100m.DNA_550083"	27885	99.6
"1117"	"SCOR.D2.100m.DNA_550367"	10939	98.59
"1187"	"SCOR.D2.100m.DNA_550437"	26650	99.76
"1276"	"SCOR.D2.100m.DNA_550524"	23633	98.74
"1298"	"SCOR.D2.100m.DNA_550547"	12385	100
"1328"	"SCOR.D2.100m.DNA_550577"	23633	98.95
"1381"	"SCOR.D2.100m.DNA_550630"	32940	98.4
"1388"	"SCOR.D2.100m.DNA_550637"	10939	97.99
"1414"	"SCOR.D2.100m.DNA_550663"	32940	98.2
"1451"	"SCOR.D2.100m.DNA_550700"	12385	99.58
"1481"	"SCOR.D2.100m.DNA_550730"	30591	99.79
"1490"	"SCOR.D2.100m.DNA_550739"	10939	98.38
"1598"	"SCOR.D2.100m.DNA_550846"	14519	99.8
"1735"	"SCOR.D2.100m.DNA_550981"	10557	100
"1759"	"SCOR.D2.100m.DNA_551005"	35841	99.39
"1846"	"SCOR.D2.100m.DNA_551088"	10939	98.37
"1848"	"SCOR.D2.100m.DNA_551090"	23633	97.7
"1871"	"SCOR.D2.100m.DNA_551113"	18459	99.39
"2010"	"SCOR.D2.100m.DNA_551248"	28241	99.38
"2025"	"SCOR.D2.100m.DNA_551262"	2962	98.73
"2042"	"SCOR.D2.100m.DNA_551276"	23633	99.16
"2068"	"SCOR.D2.100m.DNA_551302"	2962	99.16
"2150"	"SCOR.D2.100m.DNA_551384"	32070	99.6
"2155"	"SCOR.D2.100m.DNA_551389"	23633	99.16
"2242"	"SCOR.D2.100m.DNA_551476"	39646	99.21
"2330"	"SCOR.D2.100m.DNA_551565"	10557	100
"2372"	"SCOR.D2.100m.DNA_551608"	39646	99.59
"2457"	"SCOR.D2.100m.DNA_551687"	39646	99.19
"2553"	"SCOR.D2.100m.DNA_551782"	39646	99
"2593"	"SCOR.D2.100m.DNA_551821"	2274	99.37
"2627"	"SCOR.D2.100m.DNA_551855"	23633	99.79
"2665"	"SCOR.D2.100m.DNA_551893"	42840	99.4
"2682"	"SCOR.D2.100m.DNA_551910"	23633	99.79
"2730"	"SCOR.D2.100m.DNA_551955"	10939	98.32
"2818"	"SCOR.D2.100m.DNA_552042"	39646	99.19
"2855"	"SCOR.D2.100m.DNA_552078"	30591	99.79
"2874"	"SCOR.D2.100m.DNA_552097"	23633	98.54
"2927"	"SCOR.D2.100m.DNA_552149"	12385	97.82
"3014"	"SCOR.D2.100m.DNA_552236"	23633	98.74
"3020"	"SCOR.D2.100m.DNA_552242"	39646	98.81
"3034"	"SCOR.D2.100m.DNA_552256"	39646	98.99
"3068"	"SCOR.D2.100m.DNA_552290"	23633	100
"3091"	"SCOR.D2.100m.DNA_552313"	12385	98.54
"3292"	"SCOR.D2.100m.DNA_552512"	12385	98.74
"3325"	"SCOR.D2.100m.DNA_552545"	23633	100
"3370"	"SCOR.D2.100m.DNA_552590"	26582	100
"3404"	"SCOR.D2.100m.DNA_552623"	32070	99.4
"3431"	"SCOR.D2.100m.DNA_552650"	2274	99.8
"3530"	"SCOR.D2.100m.DNA_552750"	10939	98.58
"3663"	"SCOR.D2.100m.DNA_552882"	17737	97.51
"3692"	"SCOR.D2.100m.DNA_552911"	17547	99.78
"3729"	"SCOR.D2.100m.DNA_552948"	28241	99.17
"3735"	"SCOR.D2.100m.DNA_552954"	12385	99.8
"3828"	"SCOR.D2.100m.DNA_553047"	23633	100
"3941"	"SCOR.D2.100m.DNA_553158"	23633	99.37
"3976"	"SCOR.D2.100m.DNA_553193"	8780	99.38
"4055"	"SCOR.D2.100m.DNA_553272"	23633	99.16
"4058"	"SCOR.D2.100m.DNA_553275"	41856	98.52
"4103"	"SCOR.D2.100m.DNA_553320"	28241	98.56
"4216"	"SCOR.D2.100m.DNA_553430"	49468	98.11
"4218"	"SCOR.D2.100m.DNA_553431"	10939	97.17
"4279"	"SCOR.D2.100m.DNA_553491"	10939	98.18
"4441"	"SCOR.D2.100m.DNA_553649"	23633	99.79
"4511"	"SCOR.D2.100m.DNA_553719"	32940	98.61
"4666"	"SCOR.D2.100m.DNA_553872"	2274	99.58
"4671"	"SCOR.D2.100m.DNA_553877"	17737	97.52
"4751"	"SCOR.D2.100m.DNA_553955"	12385	98.59
"4753"	"SCOR.D2.100m.DNA_553957"	17737	97.72
"4771"	"SCOR.D2.100m.DNA_553975"	12385	99.14
"4834"	"SCOR.D2.100m.DNA_554037"	35841	100
"4879"	"SCOR.D2.100m.DNA_554082"	28241	99.16
"4941"	"SCOR.D2.100m.DNA_554143"	23633	100
"5000"	"SCOR.D2.100m.DNA_554202"	39646	99.21
"5010"	"SCOR.D2.100m.DNA_554212"	23633	97.7
"5031"	"SCOR.D2.100m.DNA_554233"	32940	99.8
"5220"	"SCOR.D2.100m.DNA_554415"	49468	97.91
"5233"	"SCOR.D2.100m.DNA_554428"	23633	98.32
"5304"	"SCOR.D2.100m.DNA_554498"	17737	97.93
"5342"	"SCOR.D2.100m.DNA_554536"	12385	98.79
"5361"	"SCOR.D2.100m.DNA_554556"	10939	98.59
"5364"	"SCOR.D2.100m.DNA_554559"	8780	98.58
"5403"	"SCOR.D2.100m.DNA_554598"	32940	99.31
"5436"	"SCOR.D2.100m.DNA_554630"	17547	100
"5459"	"SCOR.D2.100m.DNA_554653"	35162	99.4
"5533"	"SCOR.D2.100m.DNA_554725"	17547	100
"5572"	"SCOR.D2.100m.DNA_554764"	12385	98.95
"5632"	"SCOR.D2.100m.DNA_554824"	23633	100
"5751"	"SCOR.D2.100m.DNA_554942"	42840	99.39
"5820"	"SCOR.D2.100m.DNA_555011"	35841	100
"5839"	"SCOR.D2.100m.DNA_555029"	23633	98.95
"5871"	"SCOR.D2.100m.DNA_555062"	39646	98.81
"5920"	"SCOR.D2.100m.DNA_555112"	10939	98.59
"6076"	"SCOR.D2.100m.DNA_555263"	2274	99.6
"6094"	"SCOR.D2.100m.DNA_555281"	23633	100
"6112"	"SCOR.D2.100m.DNA_555299"	2962	99.79
"6245"	"SCOR.D2.100m.DNA_555428"	2274	99.8
"6258"	"SCOR.D2.100m.DNA_555441"	35162	99.2
"6397"	"SCOR.D2.100m.DNA_555575"	35162	99
"6487"	"SCOR.D2.100m.DNA_555661"	23633	100
"6515"	"SCOR.D2.100m.DNA_555689"	13270	99.8
"6527"	"SCOR.D2.100m.DNA_555701"	7561	99.18
"6630"	"SCOR.D2.100m.DNA_555803"	39646	98.8
"6665"	"SCOR.D2.100m.DNA_555838"	4362	99.79
"6699"	"SCOR.D2.100m.DNA_555865"	12385	98.94
"6731"	"SCOR.D2.100m.DNA_555892"	32070	100
"6749"	"SCOR.D2.100m.DNA_555910"	23633	99.16
"6852"	"SCOR.D2.100m.DNA_556012"	23633	98.53
"6863"	"SCOR.D2.100m.DNA_556022"	23633	99.37
"6865"	"SCOR.D2.100m.DNA_556024"	23633	99.79
"6928"	"SCOR.D2.100m.DNA_556083"	32940	99.6
"6942"	"SCOR.D2.100m.DNA_556097"	26582	100
"6962"	"SCOR.D2.100m.DNA_556117"	23633	98.74
"6990"	"SCOR.D2.100m.DNA_556145"	28241	99.59
"7046"	"SCOR.D2.100m.DNA_556201"	2274	99.79
"7067"	"SCOR.D2.100m.DNA_556222"	42840	100
"7318"	"SCOR.D2.100m.DNA_556469"	10939	97.98
"7412"	"SCOR.D2.100m.DNA_556562"	39646	98.79
"7472"	"SCOR.D2.100m.DNA_556622"	8780	98.08
"7488"	"SCOR.D2.100m.DNA_556638"	23633	99.16
"7555"	"SCOR.D2.100m.DNA_556705"	23633	100
"7593"	"SCOR.D2.100m.DNA_556743"	28241	98.76
"7617"	"SCOR.D2.100m.DNA_556768"	32940	100
"7686"	"SCOR.D2.100m.DNA_556834"	35162	99.17
"7696"	"SCOR.D2.100m.DNA_556844"	23633	100
"7715"	"SCOR.D2.100m.DNA_556863"	39646	99.21
"7717"	"SCOR.D2.100m.DNA_556865"	35841	99.79
"7750"	"SCOR.D2.100m.DNA_556898"	17547	100
"7763"	"SCOR.D2.100m.DNA_556911"	30591	99.58
"7799"	"SCOR.D2.100m.DNA_556948"	27885	99.8
"7828"	"SCOR.D2.100m.DNA_556976"	38500	99.8
"7882"	"SCOR.D2.100m.DNA_557030"	39646	99.41
"7905"	"SCOR.D2.100m.DNA_557053"	2962	99.79
"7953"	"SCOR.D2.100m.DNA_557101"	32070	99.21
"8007"	"SCOR.D2.100m.DNA_557154"	8780	98.38
"8081"	"SCOR.D2.100m.DNA_557227"	10939	98.18
"8095"	"SCOR.D2.100m.DNA_557240"	12385	98.5
"8177"	"SCOR.D2.100m.DNA_557321"	38500	99.21
"8183"	"SCOR.D2.100m.DNA_557327"	30591	99.57
"8253"	"SCOR.D2.100m.DNA_557396"	39646	99.19
"8440"	"SCOR.D2.100m.DNA_557583"	26650	100
"8467"	"SCOR.D2.100m.DNA_557609"	17547	100
"8477"	"SCOR.D2.100m.DNA_557619"	35841	99.78
"8499"	"SCOR.D2.100m.DNA_557641"	23633	98.12
"8573"	"SCOR.D2.100m.DNA_557713"	2962	100
"8633"	"SCOR.D2.100m.DNA_557772"	26650	97.61
"8713"	"SCOR.D2.100m.DNA_557853"	39646	98.98
"8738"	"SCOR.D2.100m.DNA_557878"	23633	99.58
"8766"	"SCOR.D2.100m.DNA_557906"	32070	99.6
"8772"	"SCOR.D2.100m.DNA_557912"	10939	98.19
"8824"	"SCOR.D2.100m.DNA_557964"	39646	98.81
"8838"	"SCOR.D2.100m.DNA_557978"	28241	99.54
"8952"	"SCOR.D2.100m.DNA_558092"	12385	98.71
"9094"	"SCOR.D2.100m.DNA_558231"	39646	98.59
"9175"	"SCOR.D2.100m.DNA_558311"	2274	100
"9201"	"SCOR.D2.100m.DNA_558337"	23633	100
"9233"	"SCOR.D2.100m.DNA_558370"	13270	100
"9249"	"SCOR.D2.100m.DNA_558387"	38500	99.4
"9372"	"SCOR.D2.100m.DNA_558505"	23633	98.95
"9399"	"SCOR.D2.100m.DNA_558532"	2274	99.76
"9434"	"SCOR.D2.100m.DNA_558567"	10939	98.19
"9646"	"SCOR.D2.100m.DNA_558773"	39646	99.01
"9666"	"SCOR.D2.100m.DNA_558793"	32940	98
"9690"	"SCOR.D2.100m.DNA_558817"	28241	99.17
"9720"	"SCOR.D2.100m.DNA_558846"	39646	98.98
"9736"	"SCOR.D2.100m.DNA_558862"	39646	98.81
"9793"	"SCOR.D2.100m.DNA_558919"	35841	100
"9836"	"SCOR.D2.100m.DNA_558960"	23633	98.96
"9913"	"SCOR.D2.100m.DNA_559037"	39646	100
"9946"	"SCOR.D2.100m.DNA_559070"	8780	98.4
"9987"	"SCOR.D2.100m.DNA_559111"	42840	99.21
"9995"	"SCOR.D2.100m.DNA_559119"	13270	99.6
"10027"	"SCOR.D2.100m.DNA_559150"	38500	99.2
"10055"	"SCOR.D2.100m.DNA_559178"	10557	100
"10063"	"SCOR.D2.100m.DNA_559186"	39646	98.81
"10083"	"SCOR.D2.100m.DNA_559207"	39646	99
"10139"	"SCOR.D2.100m.DNA_559263"	28241	99.38
"10152"	"SCOR.D2.100m.DNA_559276"	17737	97.72
"10275"	"SCOR.D2.100m.DNA_559395"	39646	98.79
"10307"	"SCOR.D2.100m.DNA_559426"	2962	99.79
"10323"	"SCOR.D2.100m.DNA_559441"	10939	98.19
"10338"	"SCOR.D2.100m.DNA_559456"	23633	99.16
"10481"	"SCOR.D2.100m.DNA_559598"	14519	98.81
"10526"	"SCOR.D2.100m.DNA_559643"	23633	98.95
"10532"	"SCOR.D2.100m.DNA_559649"	10939	98.38
"10599"	"SCOR.D2.100m.DNA_559717"	17737	97.9
"10648"	"SCOR.D2.100m.DNA_559766"	39646	98.99
"10712"	"SCOR.D2.100m.DNA_559825"	35841	99.79
"10734"	"SCOR.D2.100m.DNA_559847"	23633	99.14
"10811"	"SCOR.D2.100m.DNA_559923"	39646	98.74
"10849"	"SCOR.D2.100m.DNA_559961"	2962	100
"10946"	"SCOR.D2.100m.DNA_560058"	32940	99.2
"10965"	"SCOR.D2.100m.DNA_560077"	39646	98.22
"11002"	"SCOR.D2.100m.DNA_560114"	28241	99.59
"11046"	"SCOR.D2.100m.DNA_560158"	10939	98.79
"11094"	"SCOR.D2.100m.DNA_560203"	32940	98.42
"11122"	"SCOR.D2.100m.DNA_560231"	23633	99.15
"11385"	"SCOR.D2.100m.DNA_560493"	32070	98.82
"11415"	"SCOR.D2.100m.DNA_560523"	23633	100
"11427"	"SCOR.D2.100m.DNA_560535"	49468	99.37
"11429"	"SCOR.D2.100m.DNA_560537"	39646	99.16
"11490"	"SCOR.D2.100m.DNA_560597"	12385	99.57
"11602"	"SCOR.D2.100m.DNA_560708"	5081	98.53
"11603"	"SCOR.D2.100m.DNA_560709"	2962	99.16
"11613"	"SCOR.D2.100m.DNA_560719"	23633	99.16
"11628"	"SCOR.D2.100m.DNA_560734"	10939	98.59
"11679"	"SCOR.D2.100m.DNA_560785"	2274	100
"11685"	"SCOR.D2.100m.DNA_560791"	10939	98.38
"11800"	"SCOR.D2.100m.DNA_560905"	28241	99.77
"11844"	"SCOR.D2.100m.DNA_560949"	23633	100
"11938"	"SCOR.D2.100m.DNA_561043"	8780	98.72
"11951"	"SCOR.D2.100m.DNA_561056"	10939	98.18
"11993"	"SCOR.D2.100m.DNA_561098"	23633	97.7
"12039"	"SCOR.D2.100m.DNA_561143"	8780	98.95
"12059"	"SCOR.D2.100m.DNA_561163"	17547	97.11
"12340"	"SCOR.D2.100m.DNA_561443"	38500	99.6
"12421"	"SCOR.D2.100m.DNA_561522"	23633	99.37
"12480"	"SCOR.D2.100m.DNA_561580"	2274	100
"12600"	"SCOR.D2.100m.DNA_561700"	10939	98.36
"12612"	"SCOR.D2.100m.DNA_561712"	2274	99.79
"12637"	"SCOR.D2.100m.DNA_561737"	41856	98.52
"12661"	"SCOR.D2.100m.DNA_561760"	14519	98.8
"12697"	"SCOR.D2.100m.DNA_561797"	26650	99.21
"12710"	"SCOR.D2.100m.DNA_561810"	41856	98.32
"12778"	"SCOR.D2.100m.DNA_561873"	19082	99.6
"12893"	"SCOR.D2.100m.DNA_561989"	2274	98.52
"12947"	"SCOR.D2.100m.DNA_562043"	42773	100
"13008"	"SCOR.D2.100m.DNA_562105"	23633	99.79
"13084"	"SCOR.D2.100m.RNA_984555"	23633	99.79
"13111"	"SCOR.D2.100m.RNA_984583"	17547	100
